offset,dA,tc,A,f,df
29.1231898977,0.0333874986,75.30659867,8.2042862726,0.2016195919,0.0069708708
29.1231898977,0.0333874986,75.4561047377,8.2042862726,0.2016195919,0.0069742019
29.1231898977,0.0333874986,75.4561047377,8.2042862726,0.2016195919,0.0069742019
29.1231898977,0.0333874986,75.4561047377,8.2042862726,0.2009124599,0.0069742019
29.1079573508,0.0333874986,75.2326582378,7.8835093601,0.2002963989,0.0069742019
29.1079573508,0.0333874986,75.2326582378,7.8835093601,0.2004935346,0.0069742019
29.1079573508,0.0002657796,75.4029127662,7.8835093601,0.2004935346,0.0069742019
29.1079573508,0.0002657796,75.4029127662,8.1488106305,0.2004935346,0.0069742019
29.1079573508,0.0002657796,75.4029127662,8.1488106305,0.2009698036,0.0069742019
29.1079573508,0.0002657796,75.9185016143,8.8223606349,0.2009698036,0.0069742019
29.1079573508,0.0002657796,75.9185016143,8.6323255643,0.2009698036,0.0069742019
29.1079573508,0.0002657796,75.9185016143,8.6323255643,0.2009698036,0.0069742019
29.1079573508,0.0099747296,75.9185016143,7.0076923833,0.2007137468,0.0069742019
29.1031825584,0.0099747296,75.9185016143,8.4093922233,0.2007137468,0.0069789605
29.1031825584,0.0099747296,75.9185016143,8.6409284264,0.2007137468,0.0069833256
29.1031825584,0.0099747296,75.9185016143,8.6409284264,0.2007137468,0.0069833256
29.1031825584,0.0211259722,75.9185016143,8.8267611212,0.2007137468,0.0069833256
29.1031825584,0.0211259722,75.9185016143,6.9098369118,0.2007137468,0.0069833256
29.3827660218,0.0211259722,75.9185016143,6.9098369118,0.2007668129,0.0069833552
29.3827660218,0.0211259722,75.9185016143,6.642661037,0.2007668129,0.0069833552
29.2283421059,0.0211259722,75.9185016143,8.1872679855,0.2007668129,0.0069833552
29.2283421059,0.0211259722,75.9185016143,8.1872679855,0.2007668129,0.0069833552
28.9141868253,0.0211259722,75.9185016143,8.1872679855,0.2007668129,0.0069729212
28.9141868253,0.0343557217,75.0232286569,7.4767093778,0.2007668129,0.0069729212
28.9141868253,0.0343557217,75.0232286569,7.4767093778,0.2007668129,0.0069729212
28.9141868253,0.0343557217,75.6404007945,7.4767093778,0.2007668129,0.0069729212
28.9141868253,0.0343557217,75.6404007945,7.817917047,0.2007668129,0.0069729212
28.9141868253,0.0343557217,75.6404007945,7.4886367411,0.2007668129,0.0069691111
29.6044835313,0.0045736517,74.3252004247,7.4886367411,0.2018802715,0.0069691111
29.6044835313,0.0045736517,74.3252004247,8.0550753866,0.2018802715,0.0069691111
28.8759220638,0.0133180027,76.7150513286,8.0550753866,0.2009468796,0.0069691111
28.8759220638,0.0133180027,76.964377993,8.0550753866,0.2010600656,0.0069818318
28.8759220638,0.0133180027,74.9715997001,8.0550753866,0.2010600656,0.0069818318
28.8759220638,0.0133180027,74.9715997001,8.0550753866,0.2010600656,0.0069741711
28.8759220638,0.0133180027,74.5770452268,8.0550753866,0.2010600656,0.0069741711
28.8759220638,0.0133180027,74.5770452268,8.0550753866,0.2010600656,0.0069741711
28.8759220638,0.0133180027,74.5770452268,8.0550753866,0.2010600656,0.0069741711
28.8759220638,0.0133180027,74.5770452268,8.0550753866,0.2010600656,0.0069741711
28.8759220638,0.0133180027,77.4980482146,8.0550753866,0.2010600656,0.0069740581
28.7747143463,0.0133180027,77.4980482146,8.0550753866,0.2015144594,0.0069740581
29.4213425,0.0133180027,77.4980482146,8.0550753866,0.2015144594,0.0069740581
29.4213425,0.0133180027,77.4980482146,8.0550753866,0.2015144594,0.0069740581
29.4213425,0.0133180027,74.2052711289,8.4184867545,0.2001017172,0.0069740581
29.4213425,0.0133180027,74.2052711289,8.4184867545,0.2001017172,0.0069740581
29.4213425,0.0133180027,74.2052711289,8.4184867545,0.201414948,0.0069740581
29.4213425,0.0133180027,73.5163422551,8.4184867545,0.201414948,0.0069740581
29.8201010654,0.0133180027,73.5163422551,8.4418853134,0.201414948,0.0069656407
29.0695534105,0.0133180027,71.6149826,8.4418853134,0.201414948,0.0069656407
29.0695534105,0.0047812498,71.3417388296,8.5348657783,0.2018125887,0.0069591359
29.0695534105,0.0026637323,72.5014030164,7.3099427286,0.2018125887,0.0069591359
29.0695534105,0.0026637323,72.5014030164,7.3099427286,0.2018125887,0.0069574795
29.0695534105,0.0113693143,74.6726304319,7.3099427286,0.2018125887,0.0069574795
29.2482591471,0.0113693143,75.5160881421,7.3099427286,0.2017533079,0.0069574795
29.2482591471,0.025381831,75.5160881421,7.7836034208,0.2017533079,0.0069574795
29.2482591471,0.025381831,75.6565443703,7.7836034208,0.2017533079,0.0069574795
29.2482591471,0.0159078647,75.6565443703,7.7836034208,0.2017533079,0.0069574795
29.2482591471,0.0365875371,75.6565443703,7.7836034208,0.2017533079,0.0069728759
29.2482591471,0.0365875371,75.6565443703,8.3465639834,0.2017533079,0.0069728759
29.2482591471,0.0484995106,75.6565443703,5.7468737411,0.2017533079,0.0069542502
29.2482591471,0.0484995106,75.6565443703,6.4512183731,0.2017533079,0.0069542502
29.2482591471,0.0451339487,75.6565443703,6.4512183731,0.2017533079,0.0069761811
29.2482591471,0.0388434327,75.6565443703,6.5358143165,0.2017533079,0.0069665034
29.2482591471,0.0388434327,75.6565443703,7.212973599,0.2017533079,0.0069665034
29.2482591471,0.0405872223,75.9273217717,6.806877248,0.2017533079,0.0069665034
29.2482591471,0.0405872223,75.9273217717,6.8796778568,0.2012247388,0.0069665034
29.4919618609,0.0562847702,75.9273217717,6.8796778568,0.2012247388,0.0069758472
29.4919618609,0.0562847702,75.9273217717,6.8796778568,0.2012247388,0.0069689551
29.4919618609,0.0333804773,75.9273217717,5.894132541,0.2012247388,0.0069706709
29.6643250155,0.0730731568,75.6197307129,5.5445633798,0.2012247388,0.0069706709
29.6643250155,0.0730731568,75.6197307129,5.5445633798,0.2012247388,0.0069706709
29.6643250155,0.0730731568,75.6197307129,6.9087640576,0.2012247388,0.0069706709
29.6643250155,0.0730731568,75.6197307129,6.1174332353,0.2012247388,0.0069706709
29.4760682804,0.0628169458,75.6197307129,5.2061058008,0.2012247388,0.0069706709
29.4760682804,0.070934469,75.6197307129,6.4822502707,0.2012247388,0.0069706709
29.4760682804,0.070934469,75.6197307129,6.4822502707,0.2016364824,0.0069706709
29.4760682804,0.070934469,75.6197307129,6.7036724762,0.2016364824,0.0069706473
29.4760682804,0.0479908643,75.6197307129,7.4729647557,0.2016364824,0.0069672205
29.4760682804,0.0422503846,75.6197307129,7.1753933692,0.2016364824,0.0069672205
29.4760682804,0.0422503846,75.6197307129,7.1753933692,0.2015351957,0.0069672205
29.1344635185,0.0422503846,75.6197307129,7.1753933692,0.2015351957,0.0069672205
29.5105362946,0.026196338,75.6197307129,7.1753933692,0.2015351957,0.0069672205
29.4295580785,0.026196338,75.6197307129,7.1753933692,0.2017226955,0.0069672205
29.3004255736,0.0179243763,75.6197307129,7.1753933692,0.2017226955,0.0069628855
28.4006062182,0.0179243763,75.6197307129,7.1753933692,0.2017226955,0.0069628855
28.4006062182,0.0179243763,75.6197307129,8.8146428303,0.2017226955,0.0069725746
28.4006062182,0.0179243763,75.6197307129,8.8146428303,0.2006301462,0.0069725746
28.4006062182,0.0179243763,75.6197307129,8.8146428303,0.2008095554,0.0069725746
28.4006062182,0.0179243763,75.6197307129,8.8146428303,0.2008095554,0.0069725746
28.4006062182,0.0179243763,75.6197307129,8.8146428303,0.2008095554,0.0069725746
29.4101421665,0.0324282559,75.6197307129,8.8146428303,0.2008095554,0.0069725746
29.4101421665,0.0252201547,75.6197307129,9.3537641657,0.2008095554,0.0069872471
29.4101421665,0.0252201547,75.6197307129,9.3537641657,0.1996428275,0.0069872471
29.4101421665,0.0252201547,75.6197307129,7.1725543115,0.1996119202,0.0069876554
28.9161346939,0.0252201547,75.6197307129,7.1725543115,0.2002335156,0.0069876554
28.9161346939,0.0329891043,75.6197307129,7.5170618965,0.2002335156,0.0069876554
28.9161346939,0.0329891043,75.6197307129,7.8332213813,0.2002335156,0.0069876554
28.9161346939,0.0329891043,75.6197307129,6.5225889792,0.2002335156,0.0069876554
28.9161346939,0.0182524352,75.6197307129,6.5225889792,0.2002335156,0.0069876554
28.9161346939,0.0221557247,75.6197307129,6.5225889792,0.2002335156,0.0069876554
28.7225120881,0.0221557247,75.6197307129,6.5225889792,0.2002335156,0.0069876554
28.7225120881,0.0465441083,75.6197307129,6.5225889792,0.1998902182,0.0069876554
29.1678971149,0.0465441083,75.6197307129,6.5225889792,0.1998902182,0.0069876554
29.1678971149,0.0465441083,75.6197307129,6.4171776662,0.1998902182,0.0069876554
29.1678971149,0.0465441083,75.6197307129,6.4171776662,0.1998902182,0.0069876554
29.1678971149,0.0323673555,75.6197307129,6.4171776662,0.1998902182,0.0069876554
29.1678971149,0.0323673555,75.6197307129,8.5304358342,0.1998902182,0.0069876554
29.1678971149,0.0323673555,75.6197307129,6.6169928978,0.1998902182,0.0069876554
29.1678971149,0.0323673555,75.6197307129,5.5690826356,0.1996983822,0.0069876554
29.1678971149,0.0641320298,75.6197307129,5.5690826356,0.1996983822,0.0070003421
29.1678971149,0.0641320298,75.6197307129,5.5690826356,0.1996983822,0.0070003421
29.1678971149,0.030159975,75.6197307129,7.8719843572,0.1996983822,0.0070003421
29.1678971149,0.0200856736,75.6197307129,7.8719843572,0.1996983822,0.0070003421
29.1678971149,0.0200856736,75.6197307129,7.8719843572,0.1996983822,0.0070003421
29.1678971149,0.0200856736,75.6197307129,8.2476265999,0.1996983822,0.0070003421
29.1678971149,0.0200856736,75.6197307129,8.2476265999,0.1996983822,0.007005646
29.1678971149,0.0200856736,75.6197307129,8.2476265999,0.1994776321,0.007005646
29.1678971149,0.0200856736,75.6197307129,7.5122682819,0.1994776321,0.007005646
29.1678971149,0.0200856736,75.6197307129,7.3332330949,0.1994776321,0.007005646
29.1678971149,0.0584823568,75.6197307129,7.3332330949,0.1994776321,0.007005646
29.1678971149,0.0584823568,75.6197307129,7.3332330949,0.1994776321,0.0070066787
29.1678971149,0.0501728533,75.6197307129,6.2802445902,0.1994776321,0.0070066787
29.1678971149,0.0624897751,75.560793855,6.2802445902,0.1994776321,0.0070066787
29.1678971149,0.0624897751,75.560793855,6.7441527958,0.1992357286,0.0070066787
29.1678971149,0.0624897751,75.560793855,6.7441527958,0.1992357286,0.0070066787
29.1678971149,0.0454369384,75.560793855,6.2898043096,0.1992357286,0.0070066787
29.1678971149,0.0491449634,75.560793855,6.2898043096,0.1992357286,0.0070066787
29.1678971149,0.0491449634,75.560793855,6.2898043096,0.1986637637,0.0070066787
29.1490893498,0.0491449634,76.0389878315,6.2898043096,0.1988911628,0.0070066787
29.1490893498,0.0491449634,76.0389878315,8.1116760747,0.1988911628,0.0070066787
29.1490893498,0.0491449634,76.0389878315,6.5628486599,0.1988911628,0.0070127684
29.1490893498,0.0419817331,76.0389878315,6.8021357188,0.1988911628,0.0070127684
29.1490893498,0.0635840597,76.0389878315,6.8021357188,0.1991693004,0.0070127684
29.1490893498,0.0635840597,76.0389878315,6.8021357188,0.1991693004,0.0070127684
29.1490893498,0.0635840597,76.0389878315,6.8021357188,0.1991693004,0.0070127684
29.1490893498,0.0135023856,75.6822948613,6.8021357188,0.1991693004,0.0070127684
29.1490893498,0.0135023856,75.6822948613,8.2402604157,0.1987971052,0.0070127684
29.1490893498,0.0121862896,75.6822948613,8.2402604157,0.1987971052,0.0070127684
29.1490893498,0.0121862896,75.6822948613,8.2402604157,0.198089586,0.007011364
29.1490893498,0.0263085013,75.6822948613,8.2402604157,0.198499266,0.007011364
29.1490893498,0.0263085013,75.6822948613,8.2402604157,0.198499266,0.0070129658
29.1490893498,0.0263085013,74.7138072808,6.7781259518,0.198499266,0.0070181178
29.1490893498,0.0647376256,73.2428127885,6.0933054513,0.198499266,0.0070181178
29.1490893498,0.0485671875,73.4986013319,6.0933054513,0.198499266,0.0070181178
29.1490893498,0.0485671875,73.4986013319,6.0933054513,0.1985890573,0.0070181178
29.1490893498,0.0485671875,73.2343944266,8.2258030102,0.1989318054,0.0070181178
29.1490893498,0.0485671875,73.2343944266,7.8506195659,0.1989318054,0.0070145619
29.0653642204,0.0485671875,73.2343944266,7.1034147789,0.1989318054,0.0070178206
29.3432511451,0.0485671875,73.2343944266,6.7277868866,0.1989318054,0.0070178206
29.3432511451,0.0485671875,73.2343944266,6.6925427021,0.199096612,0.0070178206
29.3432511451,0.0485671875,73.2343944266,6.6925427021,0.199096612,0.0070178206
29.1125218716,0.0485671875,73.2343944266,6.6925427021,0.1979157218,0.0070178206
29.1125218716,0.0485671875,73.900948278,7.4074721368,0.1993048915,0.0070178206
29.9441489949,0.0485671875,73.900948278,7.4074721368,0.1988441614,0.0070178206
29.6064774731,0.0485671875,73.900948278,7.4074721368,0.1987201879,0.0070180404
29.6064774731,0.0183698807,73.900948278,8.3171433785,0.1986042441,0.0070180404
28.3679846611,0.0183698807,73.900948278,8.3171433785,0.1986042441,0.0070206141
28.3679846611,0.0183698807,73.6576231923,8.7563212535,0.1982289193,0.0070207091
28.3679846611,0.0183698807,76.1409246201,8.7563212535,0.1982289193,0.0070192729
28.3679846611,0.0183698807,76.1409246201,7.599138014,0.1982289193,0.0070176461
28.3679846611,0.0183698807,75.008687255,7.9367501629,0.1982289193,0.0070176461
28.3679846611,0.0183698807,75.008687255,8.6959568285,0.1980195264,0.0070294526
28.3679846611,0.0183698807,75.008687255,7.9032081379,0.1980195264,0.0070294526
28.3679846611,0.0183698807,75.008687255,7.9032081379,0.19767792,0.0070294526
28.3679846611,0.0081537161,75.008687255,7.9032081379,0.19767792,0.0070294526
28.3679846611,0.0081537161,75.008687255,9.6297003246,0.19767792,0.0070294526
28.3679846611,0.0081537161,75.008687255,8.0251627323,0.19767792,0.0070294526
28.3679846611,0.0081537161,75.008687255,8.0251627323,0.19767792,0.0070257573
29.5759412507,0.0081537161,76.0819694141,8.0251627323,0.1979940545,0.0070257573
29.5759412507,0.0390085975,76.0819694141,8.4977493445,0.1979940545,0.0070257573
29.5759412507,0.013823142,76.0819694141,8.1489219644,0.1979940545,0.0070257573
29.5759412507,0.013823142,78.9479180197,8.1489219644,0.1979940545,0.0070257573
29.5759412507,0.013823142,80.4317248165,8.1489219644,0.1979940545,0.0070257573
29.5759412507,0.013823142,79.653679149,8.6022676268,0.1979940545,0.0070257573
29.5759412507,0.013823142,79.653679149,8.6022676268,0.1987546851,0.0070257573
29.5759412507,0.013823142,79.653679149,8.6022676268,0.198277578,0.0070257573
29.5312071485,0.013823142,81.5791815356,8.6022676268,0.198277578,0.0070259634
29.5312071485,0.013823142,81.6591235985,8.6022676268,0.198277578,0.0070259634
29.5312071485,0.013823142,77.9961608037,6.7101420731,0.198277578,0.0070259634
29.5312071485,0.013823142,73.5378865298,9.0333057655,0.198277578,0.0070259634
29.5312071485,0.013823142,75.4931488386,9.0333057655,0.198277578,0.0070259634
29.5312071485,0.013823142,75.4931488386,9.0333057655,0.1980583696,0.0070259634
29.5312071485,0.013823142,75.4931488386,7.3194374835,0.1980583696,0.0070259634
29.5312071485,0.013823142,75.4931488386,7.3194374835,0.1980583696,0.0070259634
29.5312071485,0.058732559,75.4931488386,7.3194374835,0.1980583696,0.0070259634
28.8689885146,0.058732559,75.4931488386,7.3194374835,0.1983870357,0.0070259634
28.8689885146,0.058732559,75.4931488386,6.3623121712,0.1983870357,0.0070259634
28.8689885146,0.0816515947,75.4931488386,6.3623121712,0.1983870357,0.007028471
28.8689885146,0.0816515947,75.4931488386,6.3623121712,0.1983870357,0.00701448
28.8689885146,0.0816515947,75.4931488386,6.3623121712,0.1983736908,0.00701448
28.8689885146,0.0614595791,75.4931488386,6.3623121712,0.1983736908,0.00701448
28.868910868,0.0614595791,75.4931488386,6.3623121712,0.1983736908,0.00701448
28.868910868,0.0614595791,75.4931488386,6.3623121712,0.1983736908,0.00701448
28.868910868,0.0614595791,75.4931488386,6.7151073666,0.1983736908,0.00701448
28.868910868,0.0477634458,75.4931488386,7.026741589,0.1982565339,0.00701448
29.0025068096,0.0317801761,75.4931488386,4.9185654181,0.1982565339,0.00701448
29.0025068096,0.0663228018,75.4931488386,5.7316961751,0.1989744446,0.00701448
29.0025068096,0.0752915519,75.4931488386,5.7316961751,0.1989744446,0.00701448
29.0025068096,0.0856786631,75.4931488386,6.3105896763,0.1989744446,0.0070018275
29.0025068096,0.0795818919,75.4931488386,6.4136905787,0.1989744446,0.0070182693
29.0025068096,0.0302402525,76.7415185567,7.1180806688,0.1997667007,0.0070090627
29.0025068096,0.0302402525,76.7415185567,7.1180806688,0.1997667007,0.0070090627
29.0025068096,0.0317927935,74.1574554287,7.1180806688,0.1990949201,0.0070090627
29.0025068096,0.0317927935,74.1574554287,7.1180806688,0.1987859959,0.0070090627
28.5013027397,0.0465683162,75.7546425002,6.351667925,0.1994835845,0.0070092487
28.5013027397,0.0465683162,75.7546425002,6.351667925,0.1994835845,0.0069899489
28.5013027397,0.0309325321,75.7546425002,6.5679239634,0.1994835845,0.0069899489
28.5013027397,0.0503647996,75.7546425002,6.5679239634,0.1992276801,0.0069899489
28.4050133645,0.0653971219,75.7546425002,6.5679239634,0.200805028,0.0069899489
28.4050133645,0.0653971219,75.7546425002,6.5679239634,0.200805028,0.0069899489
28.4050133645,0.0557551868,76.0251941538,6.5679239634,0.200805028,0.0069899489
28.4050133645,0.0152536676,76.0251941538,9.1711163311,0.2006859732,0.0069899489
28.4050133645,0.0008083094,76.0251941538,9.1711163311,0.2006859732,0.0069899489
28.4044263621,0.0008083094,76.0251941538,9.1711163311,0.2006859732,0.0069899489
28.4044263621,0.0008083094,75.4162580538,9.1711163311,0.1998611446,0.0069899489
28.4044263621,0.0008083094,75.4162580538,7.639228894,0.2005021397,0.0069899489
28.4044263621,0.0008083094,76.0350674451,7.639228894,0.1998914179,0.0069899489
28.9815769666,0.0008083094,75.3997750935,7.639228894,0.1998914179,0.0069899489
28.9815769666,0.0164317886,75.6082548356,7.639228894,0.1998914179,0.007003426
28.9815769666,0.0164317886,75.6082548356,7.9346568697,0.1998914179,0.0069913612
28.9815769666,0.0164317886,75.6082548356,7.9346568697,0.1998914179,0.0069913612
28.9815769666,0.020142147,76.1712683348,7.9346568697,0.1998914179,0.0069913612
28.9815769666,0.020142147,75.1262340212,7.9346568697,0.1998914179,0.0069913612
28.9815769666,0.0210224489,75.1262340212,7.9346568697,0.1998914179,0.0070004736
